Transaction ID,Order Date,Customer ID,Customer Name,Product Category,Product Name,Quantity,Unit Price,Discount,Sales Amount,Profit,Payment Method,Country,State,Region
TXN-100000,2024-10-05,Cust-1029,Customer 1029,Home & Kitchen,Blender,1,49.0,0.05,46.55,14.35,Debit Card,Germany,Bavaria,Europe
TXN-100001,2025-09-03,Cust-1062,Customer 1062,Beauty,Lipstick,1,18.0,0.0,18.0,6.77,PayPal,Canada,Quebec,North America
TXN-100002,2025-03-22,Cust-1109,Customer 1109,Electronics,Smartwatch,3,199.0,0.15,507.45,203.96,Credit Card,France,Île-de-France,Europe
TXN-100003,2024-10-09,Cust-1066,Customer 1066,Home & Kitchen,Knife Set,2,59.0,0.0,118.0,37.86,Apple Pay,United Kingdom,England,Europe
TXN-100004,2024-09-04,Cust-1007,Customer 1007,Electronics,Headphones,1,150.0,0.05,142.5,57.96,Google Pay,United Kingdom,England,Europe
TXN-100005,2026-05-26,Cust-1141,Customer 1141,Electronics,Laptop,1,999.0,0.0,999.0,157.8,Apple Pay,France,Auvergne-Rhône-Alpes,Europe
TXN-100006,2024-07-15,Cust-1028,Customer 1028,Beauty,Foundation,3,35.0,0.1,94.5,23.87,Debit Card,Canada,British Columbia,North America
TXN-100007,2026-03-01,Cust-1118,Customer 1118,Beauty,Moisturizer,2,25.0,0.0,50.0,15.78,Apple Pay,Canada,Ontario,North America
TXN-100008,2024-10-24,Cust-1098,Customer 1098,Beauty,Foundation,3,35.0,0.0,105.0,43.11,Credit Card,United Kingdom,Scotland,Europe
TXN-100009,2025-10-04,Cust-1113,Customer 1113,Home & Kitchen,Coffee Maker,1,89.0,0.0,89.0,30.26,Apple Pay,United States,Texas,North America
TXN-100010,2025-01-25,Cust-1028,Customer 1028,Sports,Dumbbells,1,45.0,0.0,45.0,19.09,Apple Pay,France,Provence-Alpes-Côte d'Azur,Europe
TXN-100011,2025-05-21,Cust-1040,Customer 1040,Electronics,Smartphone,1,699.0,0.0,699.0,255.88,Google Pay,France,Provence-Alpes-Côte d'Azur,Europe
TXN-100012,2025-09-26,Cust-1026,Customer 1026,Clothing,Jacket,2,120.0,0.05,228.0,79.69,Credit Card,Canada,Ontario,North America
TXN-100013,2024-09-20,Cust-1121,Customer 1121,Electronics,Smartwatch,4,199.0,0.0,796.0,140.97,Google Pay,United Kingdom,Scotland,Europe
TXN-100014,2025-07-02,Cust-1148,Customer 1148,Home & Kitchen,Air Fryer,1,119.0,0.05,113.05,27.03,Debit Card,United Kingdom,Scotland,Europe
